iter	Passed	Remaining
137	5928	37031
138	5972	36994
139	6007	36906
140	6052	36873
141	6092	36815
142	6129	36735
143	6168	36668
144	6209	36615
145	6253	36577
146	6281	36452
147	6311	36332
148	6341	36218
149	6371	36104
150	6401	35992
151	6431	35880
152	6460	35764
153	6488	35642
154	6507	35474
155	6535	35356
156	6570	35281
157	6604	35195
158	6627	35056
159	6654	34938
160	6687	34850
161	6724	34784
162	6754	34685
163	6783	34577
164	6820	34514
165	6851	34421
166	6879	34315
167	6909	34219
168	6959	34221
169	7000	34178
170	7042	34140
171	7082	34095
172	7122	34047
173	7156	33974
174	7192	33907
175	7241	33905
176	7272	33816
177	7302	33724
178	7336	33649
179	7368	33567
180	7402	33493
181	7434	33415
182	7467	33336
183	7490	33217
184	7521	33133
185	7552	33054
186	7584	32975
187	7612	32877
188	7643	32797
189	7673	32713
190	7710	32656
191	7742	32583
192	7781	32535
193	7815	32472
194	7854	32424
195	7895	32387
196	7961	32451
197	8018	32480
198	8072	32493
199	8114	32458
200	8149	32393
201	8193	32369
202	8233	32324
203	8264	32247
204	8293	32161
205	8320	32069
206	8348	31983
207	8377	31898
208	8406	31817
209	8436	31738
210	8470	31673
211	8500	31596
212	8531	31522
213	8561	31444
214	8589	31361
215	8618	31281
216	8644	31190
217	8675	31119
218	8714	31079
219	8745	31007
220	8772	30920
221	8798	30832
222	8827	30756
223	8857	30685
224	8888	30615
225	8922	30556
226	8961	30517
227	8997	30466
228	9033	30414
229	9068	30360
230	9106	30315
231	9154	30304
232	9196	30274
233	9235	30231
234	9268	30172
235	9295	30092
236	9320	30007
237	9351	29940
238	9380	29869
239	9412	29806
240	9444	29744
241	9468	29658
242	9501	29599
243	9532	29536
244	9563	29470
245	9594	29407
246	9628	29352
247	9660	29292
248	9696	29246
249	9731	29195
250	9766	29144
251	9796	29078
252	9827	29016
253	9852	28937
254	9881	28868
255	9921	28835
256	9966	28812
257	10027	28839
258	10073	28820
259	10119	28802
260	10197	28874
261	10285	28971
262	10326	28937
263	10362	28889
264	10397	28838
265	10426	28771
266	10458	28710
267	10492	28657
268	10523	28597
269	10552	28531
270	10580	28462
271	10610	28399
272	10637	28327
273	10670	28273
274	10708	28232
275	10737	28166
276	10768	28106
277	10799	28046
278	10826	27978
279	10855	27913
280	10894	27876
281	10927	27821
282	10965	27780
283	11000	27733
284	11032	27677
285	11069	27634
286	11112	27606
287	11148	27562
288	11197	27548
289	11229	27492
290	11256	27425
291	11283	27359
292	11317	27308
293	11345	27245
294	11377	27190
295	11410	27138
296	11442	27083
297	11470	27020
298	11497	26955
299	11530	26903
300	11556	26836
301	11589	26786
302	11619	26729
303	11649	26670
304	11679	26614
305	11732	26610
306	11763	26553
307	11794	26499
308	11914	26643
309	12040	26800
310	12101	26809
311	12141	26772
312	12176	26725
313	12217	26690
314	12260	26661
315	12296	26617
316	12323	26551
317	12357	26501
318	12399	26471
319	12440	26435
320	12487	26414
321	12534	26391
322	12580	26369
323	12710	26518
324	12806	26597
325	12850	26567
326	12894	26538
327	12939	26510
328	12983	26479
329	13018	26430
330	13054	26384
331	13097	26353
332	13134	26309
333	13174	26270
334	13218	26239
335	13250	26184
336	13284	26135
337	13314	26078
338	13342	26016
339	13371	25956
340	13422	25939
341	13480	25936
342	13513	25883
343	13544	25829
344	13575	25773
345	13612	25730
346	13646	25681
347	13682	25635
348	13721	25594
349	13748	25532
350	13775	25471
351	13808	25420
352	13834	25357
353	13869	25309
354	13908	25270
355	13951	25238
356	13993	25203
357	14036	25171
358	14074	25129
359	14112	25088
360	14152	25050
361	14192	25013
362	14223	24960
363	14252	24902
364	14281	24845
365	14308	24786
366	14339	24732
367	14369	24677
368	14400	24625
369	14425	24563
370	14459	24514
371	14492	24465
372	14527	24419
373	14557	24367
374	14585	24309
375	14612	24251
376	14645	24202
377	14682	24160
378	14722	24122
379	14757	24077
380	14783	24018
381	14816	23970
382	14856	23932
383	14897	23897
384	14941	23867
385	15007	23872
386	15087	23898
387	15143	23886
388	15200	23875
389	15236	23830
390	15269	23783
391	15300	23731
392	15330	23678
393	15364	23631
394	15396	23581
395	15425	23528
396	15456	23476
397	15484	23421
398	15514	23368
399	15548	23322
400	15585	23280
401	15622	23239
402	15655	23192
403	15691	23149
404	15718	23091
405	15746	23038
406	15775	22985
407	15803	22931
408	15832	22878
409	15869	22836
410	15907	22797
411	15948	22761
412	15984	22718
413	16024	22681
414	16061	22641
415	16101	22603
416	16141	22567
417	16180	22529
418	16217	22487
419	16247	22436
420	16277	22386
421	16302	22329
422	16331	22277
423	16358	22223
424	16391	22177
425	16422	22128
426	16453	22079
427	16489	22037
428	16516	21983
429	16547	21934
430	16574	21880
431	16607	21835
432	16644	21794
433	16677	21749
434	16720	21716
435	16755	21674
436	16797	21640
437	16832	21597
438	16875	21565
439	16914	21528
440	16957	21494
441	16992	21451
442	17033	21416
443	17069	21375
444	17112	21342
445	17147	21299
446	17177	21251
447	17213	21209
448	17246	21164
449	17277	21117
450	17312	21074
451	17358	21044
452	17403	21014
453	17463	21002
454	17507	20970
455	17539	20924
456	17565	20871
457	17606	20835
458	17637	20788
459	17675	20748
460	17710	20707
461	17745	20664
462	17775	20616
463	17806	20569
464	18049	20767
465	18139	20787
466	18179	20748
467	18223	20715
468	18262	20676
469	18302	20638
470	18328	20586
471	18358	20536
472	18388	20487
473	18417	20438
474	18442	20383
475	18475	20338
476	18505	20290
477	18535	20241
478	18568	20196
479	18603	20153
480	18635	20108
481	18669	20063
482	18718	20036
483	18754	19994
484	18791	19953
485	18824	19908
486	18866	19873
487	18906	19836
488	18949	19802
489	18985	19760
490	19030	19728
491	19066	19686
492	19103	19645
493	19142	19607
494	19171	19558
495	19203	19513
496	19237	19470
497	19272	19427
498	19300	19377
499	19330	19330
500	19357	19279
501	19383	19229
502	19414	19182
503	19447	19138
504	19474	19089
505	19504	19041
506	19537	18997
507	19565	18948
508	19597	18904
509	19652	18882
510	19709	18860
511	19755	18829
512	19797	18793
513	19845	18764
514	19892	18734
515	19962	18724
516	20017	18700
517	20059	18665
518	20101	18629
519	20138	18589
520	20175	18548
521	20206	18503
522	20239	18458
523	20265	18408
524	20292	18359
525	20321	18312
526	20349	18264
527	20377	18215
528	20406	18169
529	20444	18130
530	20474	18083
531	20505	18038
532	20532	17990
533	20564	17945
534	20600	17904
535	20630	17859
536	20655	17809
537	20685	17763
538	20711	17714
539	20738	17666
540	20763	17616
541	20796	17573
542	20831	17531
543	20875	17498
544	20920	17465
545	20955	17424
546	20992	17385
547	21029	17345
548	21063	17303
549	21101	17265
550	21140	17226
551	21162	17175
552	21190	17128
553	21217	17081
554	21248	17037
555	21277	16991
556	21308	16947
557	21342	16905
558	21365	16855
559	21397	16812
560	21426	16766
561	21462	16726
562	21495	16684
563	21525	16640
564	21558	16598
565	21593	16557
566	21633	16520
567	21670	16482
568	21702	16438
569	21730	16392
570	21761	16349
571	21795	16308
572	21832	16269
573	21866	16228
574	21903	16189
575	21978	16178
576	22053	16167
577	22115	16146
578	22160	16113
579	22202	16077
580	22234	16035
581	22260	15988
582	22288	15942
583	22321	15900
584	22349	15854
585	22375	15808
586	22403	15762
587	22434	15719
588	22469	15678
589	22497	15634
590	22541	15599
591	22577	15559
592	22610	15518
593	22649	15480
594	22681	15438
595	22715	15397
596	22743	15353
597	22771	15308
598	22809	15270
599	22850	15233
600	22896	15200
601	22931	15160
602	22973	15125
603	23010	15086
604	23050	15049
605	23092	15013
606	23128	14974
607	23164	14934
608	23197	14893
609	23227	14850
610	23265	14812
611	23295	14768
612	23322	14724
613	23346	14677
614	23379	14635
615	23411	14593
616	23440	14550
617	23464	14504
618	23497	14462
619	23527	14420
620	23560	14379
621	23595	14339
622	23637	14303
623	23672	14263
624	23710	14226
625	23737	14181
626	23771	14141
627	23808	14103
628	23839	14061
629	23876	14022
630	23918	13987
631	23956	13949
632	23989	13908
633	24031	13873
634	24069	13835
635	24109	13798
636	24144	13758
637	24181	13720
638	24215	13680
639	24242	13636
640	24270	13593
641	24300	13550
642	24349	13518
643	24387	13481
644	24449	13456
645	24487	13418
646	24519	13377
647	24552	13337
648	24585	13296
649	24611	13252
650	24643	13211
651	24673	13169
652	24704	13127
653	24733	13085
654	24768	13046
655	24810	13010
656	24844	12970
657	24877	12930
658	24914	12891
659	24958	12857
660	24996	12819
661	25031	12780
662	25072	12744
663	25107	12704
664	25137	12663
665	25172	12624
666	25207	12584
667	25241	12545
668	25274	12505
669	25299	12460
670	25326	12418
671	25353	12374
672	25382	12332
673	25408	12289
674	25436	12247
675	25466	12205
676	25495	12164
677	25521	12121
678	25555	12081
679	25590	12042
680	25626	12004
681	25657	11963
682	25702	11929
683	25728	11886
684	25761	11846
685	25800	11809
686	25837	11771
687	25869	11731
688	25906	11693
689	25949	11658
690	25992	11623
691	26043	11591
692	26084	11555
693	26121	11517
694	26151	11476
695	26185	11437
696	26219	11398
697	26251	11358
698	26280	11316
699	26310	11276
700	26340	11235
701	26366	11192
702	26399	11153
703	26434	11114
704	26461	11072
705	26492	11032
706	26524	10992
707	26563	10955
708	26595	10915
709	26635	10879
710	26682	10845
711	26732	10812
712	26795	10786
713	26850	10755
714	26885	10716
715	26921	10678
716	26972	10645
717	27006	10607
718	27044	10569
719	27093	10536
720	27136	10500
721	27177	10464
722	27219	10428
723	27271	10396
724	27318	10362
725	27352	10323
726	27396	10287
727	27439	10252
728	27477	10214
729	27507	10174
730	27552	10138
731	27592	10102
732	27632	10065
733	27659	10023
734	27689	9983
735	27724	9944
736	27765	9908
737	27809	9872
738	27850	9836
739	27889	9799
740	27934	9763
741	27977	9727
742	28011	9688
743	28053	9652
744	28086	9613
745	28116	9573
746	28145	9532
747	28181	9494
748	28207	9452
749	28237	9412
750	28294	9381
751	28336	9344
752	28369	9305
753	28394	9263
754	28418	9221
755	28461	9185
756	28493	9146
757	28527	9107
758	28561	9069
759	28594	9029
760	28624	8989
761	28661	8951
762	28693	8912
763	28727	8873
764	28765	8836
765	28798	8797
766	28832	8758
767	28878	8723
768	28917	8686
769	28976	8655
770	29020	8619
771	29084	8589
772	29121	8551
773	29159	8514
774	29194	8475
775	29222	8435
776	29254	8396
777	29289	8357
778	29314	8316
779	29337	8274
780	29374	8236
781	29406	8197
782	29443	8159
783	29470	8119
784	29504	8080
785	29539	8042
786	29569	8003
787	29602	7964
788	29637	7926
789	29675	7888
790	29708	7849
791	29743	7811
792	29774	7772
793	29815	7735
794	29850	7697
795	29890	7660
796	29939	7625
797	29970	7586
798	30008	7549
799	30048	7512
800	30082	7473
801	30115	7435
802	30147	7396
803	30178	7356
804	30206	7317
805	30239	7278
806	30269	7239
807	30298	7199
808	30323	7159
809	30353	7120
810	30379	7079
811	30413	7041
812	30458	7005
813	30492	6967
814	30521	6928
815	30558	6890
816	30596	6853
817	30628	6814
818	30656	6775
819	30691	6737
820	30725	6699
821	30764	6661
822	30798	6623
823	30831	6585
824	30874	6549
825	30913	6512
826	30954	6475
827	31000	6439
828	31038	6402
829	31074	6364
830	31103	6325
831	31131	6286
832	31158	6246
833	31193	6208
834	31225	6170
835	31257	6131
836	31291	6093
837	31335	6057
838	31389	6023
839	31434	5987
840	31471	5950
841	31506	5912
842	31543	5874
843	31574	5836
844	31612	5798
845	31650	5761
846	31690	5724
847	31731	5687
848	31766	5649
849	31806	5612
850	31842	5575
851	31880	5537
852	31919	5500
853	31962	5464
854	32000	5426
855	32046	5390
856	32075	5352
857	32103	5313
858	32133	5274
859	32170	5237
860	32201	5198
861	32232	5160
862	32259	5121
863	32289	5082
864	32314	5043
865	32344	5004
866	32372	4966
867	32405	4928
868	32452	4892
869	32491	4855
870	32523	4816
871	32555	4778
872	32601	4742
873	32634	4704
874	32662	4666
875	32698	4628
876	32737	4591
877	32770	4553
878	32802	4515
879	32844	4478
880	32884	4441
881	32930	4405
882	32967	4368
883	33009	4331
884	33038	4293
885	33066	4254
886	33096	4216
887	33123	4177
888	33155	4139
889	33183	4101
890	33212	4063
891	33243	4025
892	33273	3986
893	33298	3948
894	33326	3909
895	33356	3871
896	33389	3834
897	33423	3796
898	33455	3758
899	33486	3720
900	33525	3683
901	33562	3646
902	33595	3608
903	33655	3574
904	33721	3539
905	33774	3504
906	33817	3467
907	33848	3429
908	33889	3392
909	33933	3356
910	33969	3318
911	34007	3281
912	34043	3243
913	34071	3205
914	34099	3167
915	34128	3129
916	34162	3092
917	34188	3053
918	34305	3023
919	34355	2987
920	34387	2949
921	34425	2912
922	34454	2874
923	34488	2836
924	34519	2798
925	34550	2761
926	34577	2722
927	34604	2684
928	34630	2646
929	34664	2609
930	34705	2572
931	34749	2535
932	34788	2498
933	34834	2461
934	34874	2424
935	34917	2387
936	34954	2350
937	34990	2312
938	35022	2275
939	35049	2237
940	35076	2199
941	35105	2161
942	35130	2123
943	35165	2086
944	35193	2048
945	35224	2010
946	35254	1973
947	35280	1935
948	35309	1897
949	35338	1859
950	35367	1822
951	35394	1784
952	35427	1747
953	35461	1709
954	35499	1672
955	35528	1635
956	35559	1597
957	35589	1560
958	35620	1522
959	35656	1485
960	35692	1448
961	35725	1411
962	35770	1374
963	35812	1337
964	35857	1300
965	35903	1263
966	35958	1227
967	36022	1190
968	36064	1153
969	36107	1116
970	36140	1079
971	36183	1042
972	36210	1004
973	36244	967
974	36271	930
975	36305	892
976	36332	855
977	36361	817
978	36391	780
979	36434	743
980	36467	706
981	36495	668
982	36525	631
983	36559	594
984	36591	557
985	36624	520
986	36667	482
987	36703	445
988	36742	408
989	36777	371
990	36814	334
991	36853	297
992	36892	260
993	36931	222
994	36973	185
995	36999	148
996	37028	111
997	37058	74
998	37083	37
999	37112	0
