iter	Logloss
0	0.593912296
1	0.4980755495
2	0.4456930965
3	0.3958440422
4	0.3578344963
5	0.3282798
6	0.3078095734
7	0.292395287
8	0.2726848657
9	0.2619091825
10	0.2516970761
11	0.2397158008
12	0.2300517477
13	0.222808552
14	0.2184408255
15	0.2088551748
16	0.2050606386
17	0.2004795559
18	0.197338296
19	0.1933088433
20	0.190616444
21	0.1856413388
22	0.1824693108
23	0.1802904208
24	0.1777988328
25	0.1760872131
26	0.1742767904
27	0.1727497356
28	0.1711370753
29	0.1687903628
30	0.1665241391
31	0.1649711617
32	0.1632442522
33	0.1613944231
34	0.1600112327
35	0.1579268783
36	0.1555008046
37	0.1541456515
38	0.1528397224
39	0.151954574
40	0.1514683316
41	0.150602211
42	0.1489935234
43	0.1476965531
44	0.1465656671
45	0.1453729524
46	0.1445609558
47	0.1437851054
48	0.1423998568
49	0.1416652291
50	0.1412236629
51	0.1405812867
52	0.1398676823
53	0.1390154181
54	0.138429348
55	0.1377286156
56	0.1368354817
57	0.1359266667
58	0.1350555448
59	0.1346698516
60	0.1341597324
61	0.133667931
62	0.1332868736
63	0.1326520136
64	0.1322848771
65	0.1316640859
66	0.1311772844
67	0.1308267859
68	0.1295621459
69	0.1290824816
70	0.1281916717
71	0.1273899664
72	0.1269559759
73	0.1265861086
74	0.1258257452
75	0.1253379549
76	0.125045783
77	0.1246407806
78	0.1237273927
79	0.1232936978
80	0.1230247349
81	0.1224148489
82	0.121779334
83	0.1215154934
84	0.121166964
85	0.1209103008
86	0.1205444666
87	0.1201774073
88	0.1199548849
89	0.1196385608
90	0.1194000108
91	0.119008625
92	0.1188579036
93	0.118587331
94	0.1183246196
95	0.1180043071
96	0.1178727363
97	0.1174209325
98	0.1171377633
99	0.1169358661
100	0.1165928047
101	0.1162595588
102	0.1160692139
103	0.1156613191
104	0.1153356478
105	0.1151887024
106	0.1149838846
107	0.1146637916
108	0.1143879398
109	0.1139608118
110	0.1137763954
111	0.1135130011
112	0.1133375281
113	0.113090868
114	0.1127221616
115	0.1123517707
116	0.1121622159
117	0.1118683496
118	0.111677585
119	0.1114330831
120	0.1110605809
121	0.1106833217
122	0.1104950336
123	0.1102205344
124	0.1100969647
125	0.1098398931
126	0.1096775414
127	0.1094806557
128	0.1092515061
129	0.1090718671
130	0.1089039119
131	0.1086225422
132	0.1084487447
133	0.1082925598
134	0.1080735767
135	0.1079452904
136	0.1078080409
137	0.1075567795
138	0.1073638437
139	0.1072585323
140	0.1071419414
141	0.1070424195
142	0.1069788074
143	0.1067837079
144	0.1066245978
145	0.1064064095
146	0.1063135137
147	0.1060902143
148	0.1059665599
149	0.1058486806
150	0.1056047132
151	0.1053343259
152	0.1052240731
153	0.1047427589
154	0.104539118
155	0.104289251
156	0.104105033
157	0.1040124609
158	0.1038996026
159	0.1037303302
160	0.1033733112
161	0.1031966741
162	0.1029599786
163	0.1026863961
164	0.1025051371
165	0.1021788574
166	0.1019468777
167	0.1018035186
168	0.1016827637
169	0.1014873843
170	0.101352062
171	0.1011249073
172	0.1009474278
173	0.1006091508
174	0.1003229241
175	0.1002242111
176	0.1001111561
177	0.09999244536
178	0.0998445947
179	0.09972867074
180	0.09960137729
181	0.09935531377
182	0.09927099185
183	0.09920975759
184	0.09895470693
185	0.09880715752
